Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912214358030000;40;41.1;39.4;20.03071
132912214358130000;40;41.1;39.4;20.03071
132912214358230000;40;41.1;39.4;20.03071
132912214358330000;40;41.1;39.4;20.03071
132912214358430000;40;41.1;39.4;20.0192528
132912214358530000;40;41.1;39.4;20.0192528
132912214358630000;40;41.1;39.4;20.0192528
132912214358730000;40;41.1;39.4;20.0192528
132912214358830000;40;41.1;39.4;20.0192528
132912214358930000;40;41.1;39.4;20.0077934
132912214359030000;40;41.1;39.4;20.0077934
132912214359130000;40;41.1;39.4;20.0077934
132912214359230000;40;41.1;39.4;20.0077934
132912214359330000;40;41.1;39.4;20.0077934
132912214359430000;40;41.1;39.4;19.996336
132912214359530000;40;41.1;39.4;19.996336
132912214359630000;40;41.1;39.4;19.996336
132912214359730000;40;41.1;39.4;19.996336
132912214359830000;40;41.1;39.4;19.996336
132912214359930000;40;41.1;39.4;19.9848766
132912214360030000;40;41.1;39.4;19.9848766
132912214360130000;40;41.1;39.4;19.9848766
132912214360230000;40;41.1;39.4;19.9848766
132912214360330000;40;41.1;39.4;19.9848766
132912214360430000;40;41.1;39.4;19.97342
132912214360530000;40;41.1;39.4;19.97342
132912214360630000;40;41.1;39.4;19.97342
132912214360730000;40;41.1;39.4;19.97342
132912214360830000;40;41.1;39.4;19.97342
132912214360930000;40;41.1;39.4;19.9619617
132912214361030000;40;41.1;39.4;19.9619617
132912214361130000;40;41.1;39.4;19.9619617
132912214361230000;40;41.1;39.4;19.9619617
132912214361330000;40;41.1;39.4;19.9619617
132912214361430000;40;41.1;39.4;19.9505024
132912214361530000;40;41.1;39.4;19.9505024
132912214361630000;40;41.1;39.4;19.9505024
132912214361730000;40;41.1;39.4;19.9505024
132912214361830000;40;41.1;39.4;19.9505024
132912214361930000;40;41.1;39.4;19.939045
132912214362030000;40;41.1;39.4;19.939045
132912214362130000;40;41.1;39.4;19.939045
132912214362230000;40;41.1;39.4;19.939045
132912214362330000;40;41.1;39.4;19.939045
132912214362430000;40;41.1;39.4;19.9275856
132912214362530000;40;41.1;39.4;19.9275856
132912214362630000;40;41.1;39.4;19.9275856
132912214362730000;40;41.1;39.4;19.9275856
132912214362830000;40;41.1;39.4;19.9275856
132912214362930000;40;41.1;39.4;19.9161282
132912214363030000;40;41.1;39.4;19.9161282
132912214363130000;40;41.1;39.4;19.9161282
132912214363230000;40;41.1;39.4;19.9161282
132912214363330000;40;41.1;39.4;19.9161282
132912214363430000;40;41.1;39.4;19.9046688
132912214363530000;40;41.1;39.4;19.9046688
132912214363630000;40;41.1;39.4;19.9046688
132912214363730000;40;41.1;39.4;19.9046688
132912214363830000;40;41.1;39.4;19.9046688
132912214363930000;40;41.1;39.4;19.8932114
132912214364030000;40;41.1;39.4;19.8932114
132912214364130000;40;41.1;39.4;19.8932114
132912214364230000;40;41.1;39.4;19.8932114
132912214364330000;40;41.1;39.4;19.8932114
132912214364430000;40;41.1;39.4;19.881752
132912214364530000;40;41.1;39.4;19.881752
132912214364630000;40;41.1;39.4;19.881752
132912214364730000;40;41.1;39.4;19.881752
132912214364830000;40;41.1;39.4;19.881752
132912214364930000;40;41.1;39.4;19.8702946
132912214365030000;40;41.1;39.4;19.8702946
132912214365130000;40;41.1;39.4;19.8702946
132912214365230000;40;41.1;39.4;19.8702946
132912214365330000;40;41.1;39.4;19.8702946
132912214365430000;40;41.1;39.4;19.8588352
132912214365530000;40;41.1;39.4;19.8588352
132912214365630000;40;41.1;39.4;19.8588352
132912214365730000;40;41.1;39.4;19.8588352
132912214365830000;40;41.1;39.4;19.8588352
132912214365930000;40;41.1;39.4;19.8473778
132912214366030000;40;41.1;39.4;19.8473778
132912214366130000;40;41.1;39.4;19.8473778
132912214366230000;40;41.1;39.4;19.8473778
132912214366330000;40;41.1;39.4;19.8473778
