Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912114371930000;40;40.1;39.2;14.32237
132912114372030000;40;40.1;39.2;14.32237
132912114372130000;40;40.1;39.2;14.3213282
132912114372230000;40;40.1;39.2;14.3213282
132912114372330000;40;40.1;39.2;14.3213282
132912114372430000;40;40.1;39.2;14.3213282
132912114372530000;40;40.1;39.2;14.3213282
132912114372630000;40;40.1;39.2;14.3202858
132912114372730000;40;40.1;39.2;14.3202858
132912114372830000;40;40.1;39.2;14.3202858
132912114372930000;40;40.1;39.2;14.3202858
132912114373030000;40;40.1;39.2;14.3202858
132912114373130000;40;40.1;39.2;14.3192444
132912114373230000;40;40.1;39.2;14.3192444
132912114373330000;40;40.1;39.2;14.3192444
132912114373430000;40;40.1;39.2;14.3192444
132912114373530000;40;40.1;39.2;14.3192444
132912114373630000;40;40.1;39.2;14.318203
132912114373730000;40;40.1;39.2;14.318203
132912114373830000;40;40.1;39.2;14.318203
132912114373930000;40;40.1;39.2;14.318203
132912114374030000;40;40.1;39.2;14.318203
132912114374130000;40;40.1;39.2;14.3171616
132912114374230000;40;40.1;39.2;14.3171616
132912114374330000;40;40.1;39.2;14.3171616
132912114374430000;40;40.1;39.2;14.3171616
132912114374530000;40;40.1;39.2;14.3171616
132912114374630000;40;40.1;39.2;14.3161192
132912114374730000;40;40.1;39.2;14.3161192
132912114374830000;40;40.1;39.2;14.3161192
132912114374930000;40;40.1;39.2;14.3161192
132912114375030000;40;40.1;39.2;14.3161192
132912114375130000;40;40.1;39.2;14.3150778
132912114375230000;40;40.1;39.2;14.3150778
132912114375330000;40;40.1;39.2;14.3150778
132912114375430000;40;40.1;39.2;14.3150778
132912114375530000;40;40.1;39.2;14.3150778
132912114375630000;40;40.1;39.2;14.3140364
132912114375730000;40;40.1;39.2;14.3140364
132912114375830000;40;40.1;39.2;14.3140364
132912114375930000;40;40.1;39.2;14.3140364
132912114376030000;40;40.1;39.2;14.3140364
132912114376130000;40;40.1;39.2;14.312995
132912114376230000;40;40.1;39.2;14.312995
132912114376330000;40;40.1;39.2;14.312995
132912114376430000;40;40.1;39.2;14.312995
132912114376530000;40;40.1;39.2;14.312995
132912114376630000;40;40.1;39.2;14.3119526
132912114376730000;40;40.1;39.2;14.3119526
132912114376830000;40;40.1;39.2;14.3119526
132912114376930000;40;40.1;39.2;14.3119526
132912114377030000;40;40.1;39.2;14.3119526
132912114377130000;40;40.1;39.2;14.3109112
132912114377230000;40;40.1;39.2;14.3109112
132912114377330000;40;40.1;39.2;14.3109112
132912114377430000;40;40.1;39.2;14.3109112
132912114377530000;40;40.1;39.2;14.3109112
132912114377630000;40;40.1;39.2;14.30987
132912114377730000;40;40.1;39.2;14.30987
132912114377830000;40;40.1;39.2;14.30987
132912114377930000;40;40.1;39.2;14.30987
132912114378030000;40;40.1;39.2;14.30987
132912114378130000;40;40.1;39.2;14.3088284
132912114378230000;40;40.1;39.2;14.3088284
132912114378330000;40;40.1;39.2;14.3088284
132912114378430000;40;40.1;39.2;14.3088284
